step,train_loss,validation_loss,learning_rate
1,9.030127716064452,9.039252090454102,1.4999999999999998e-06
250,4.2181845784187315,4.21596530675888,0.0002999959199723134
500,3.7660850048065186,3.8725125312805178,0.00029984810829456805
750,3.532191300392151,3.4448758602142333,0.00029948814942117627
1000,3.406868839263916,3.4284998416900634,0.00029891660965051983
1250,3.150586783885956,3.160614275932312,0.00029813438814656255
1500,3.100067937374115,3.109344959259033,0.00029714271552425727
1750,2.998888921737671,2.9819902420043944,0.00029594315191350484
2000,2.9492197394371034,2.955376756191254,0.0002945375845047096
2250,2.8080490946769716,2.910228168964386,0.00029292822457979353
2500,2.7879385352134705,2.6993288516998293,0.00029111760403333894
2750,2.700445592403412,2.6266584396362305,0.00028910857138933477
3000,2.6094680786132813,2.701721525192261,0.0002869042873197902
3250,2.743932843208313,2.6836703538894655,0.0002845082196722684
3500,2.5462143301963804,2.654838168621063,0.0002819241380141623
3750,2.3966148495674133,2.4782749891281126,0.0002791561077022945
4000,2.4422951459884645,2.6073830485343934,0.0002762084834871733
4250,2.481977903842926,2.4734936118125916,0.00027308590266196477
4500,2.3084076583385467,2.4005789160728455,0.0002697932777669605
4750,2.378357195854187,2.374994832277298,0.00026633578886101815
5000,2.399443179368973,2.364604139328003,0.0002627188753721329
5250,2.3514654636383057,2.2189921975135802,0.0002589482275399624
5500,2.3632348001003267,2.5461554527282715,0.00025502977746376615
5750,2.328155869245529,2.2585531651973723,0.0002509696897698445
6000,2.2709064424037932,2.312925714254379,0.0002467743519131588
6250,2.1725064754486083,2.3378976583480835,0.00024245036412839024
6500,2.264445447921753,2.2615069925785063,0.00023800452904624813
6750,2.3247845828533173,2.3604380786418915,0.00023344384099136114
7000,2.2835677444934843,2.1860363245010377,0.00022877547497859076
7250,2.1523034036159516,2.162089431285858,0.00022400677542507713
7500,2.121631753444672,2.2636155128479003,0.00021914524459577545
7750,2.044348967075348,2.258395880460739,0.00021419853080066248
8000,2.1324472308158873,2.084493499994278,0.000209174416362179
8250,2.0597458362579344,2.1434813380241393,0.00020408080537184114
8500,2.0234739601612093,2.1126860201358797,0.00019892571125528004
8750,2.1034729361534117,2.069959157705307,0.0001937172441652739
9000,2.12195405960083,2.092774349451065,0.00018846359822260596
9250,2.0429005205631254,2.043547624349594,0.0001831730386248215
9500,2.0460176825523377,2.0832173824310303,0.00017785388864316443
9750,2.0748747885227203,1.9184592545032502,0.00017251451652815092
10000,1.9648851811885835,1.966862279176712,0.00016716332234437988
10250,2.0938690304756165,2.018990284204483,0.0001618087247552927
10500,2.0625744998455047,2.0614921748638153,0.00015645914777867283
10750,1.9837645709514617,1.9821840345859527,0.00015112300753372166
11000,1.9417786180973053,1.9672714531421662,0.0001458086990005606
11250,1.9298044979572295,1.934461772441864,0.00014052458281298995
11500,1.94766965508461,1.97159104347229,0.00013527897210528233
11750,1.935347354412079,1.8819826364517211,0.00013008011943370387
12000,1.9745933294296265,1.9389487206935883,0.0001249362037933389
12250,2.0106031775474547,1.8778421938419343,0.00011985531775064269
12500,1.9514041364192962,1.9189732253551484,0.00011484545471196688
12750,1.8313754141330718,1.899487018585205,0.00010991449634808665
13000,1.9111770510673523,1.8629627406597138,0.00010507020019451344
13250,1.9098967611789703,1.8707720339298248,0.00010032018744710133
13500,1.8504399478435516,2.0026878833770754,9.567193097214706e-05
13750,1.8489581942558289,1.9042100310325623,9.113274354984654e-05
14000,1.9082647442817688,1.9802051782608032,8.670976636960424e-05
14250,1.902411824464798,1.986699652671814,8.240995779529383e-05
14500,1.9041079998016357,1.8936187148094177,7.824008241814614e-05
14750,1.91453378200531,1.8831443250179292,7.420670041448581e-05
15000,1.742349338531494,1.917477732896805,7.031615722505998e-05
15250,1.7629924714565277,1.820007437467575,6.657457357219551e-05
15500,1.8218872964382171,1.8211814880371093,6.298783583049032e-05
15750,1.7869260251522063,1.8692644238471985,5.956158676618738e-05
16000,1.8724986135959625,1.8499274671077728,5.630121665980135e-05
16250,1.7479338347911835,1.750332534313202,5.321185482596325e-05
16500,1.738435447216034,2.034041219949722,5.029836154382476e-05
16750,1.7709221959114074,1.8186416923999786,4.756532041071743e-05
17000,2.0669002711772917,1.8013368129730225,4.501703113109616e-05
17250,1.808930802345276,1.7139583766460418,4.265750275211191e-05
17500,1.8766396403312684,1.8510086357593536,4.04904473564552e-05
17750,1.7723950803279878,1.792877334356308,3.8519274222393384e-05
18000,1.9389615774154663,1.9095806717872619,3.6747084460189004e-05
18250,1.8365815877914429,1.6907289564609527,3.517666613333786e-05
18500,1.7366554975509643,1.8361747324466706,3.381048987230143e-05
18750,1.791292679309845,1.8088875710964203,3.265070498763521e-05
19000,1.7519831299781798,1.8448581933975219,3.169913608862696e-05
19250,1.737779176235199,1.8281602263450623,3.0957280212765306e-05
19500,1.8351596295833588,1.7597829461097718,3.04263044705543e-05
19750,1.7947824239730834,1.851226282119751,3.010704420937915e-05
20000,1.7464634120464324,1.8964176177978516,3.0000001699312058e-05
20000,1.7209820747375488,1.767485648393631,3.0000001699312058e-05
